State,Age,Dummy,HHID,WorkPlaceID,CurrentLocationID
0,79,-1,123,20,123
0,79,-1,124,124,124
0,69,-1,125,75,125
0,77,-1,126,126,126
0,78,-1,127,127,127
0,78,-1,128,29,128
0,79,-1,129,129,129
0,77,-1,130,130,130
0,77,-1,131,50,131
0,77,-1,132,132,132
0,75,-1,133,133,133
0,68,-1,134,46,134
0,75,-1,135,135,135
0,76,-1,136,13,136
0,76,-1,137,137,137
0,79,-1,138,138,138
0,77,-1,139,139,139
0,75,-1,140,140,140
0,77,-1,141,37,141
0,67,-1,142,142,142
0,79,-1,143,65,143
0,68,-1,144,10,144
0,77,-1,145,145,145
0,66,-1,146,72,146
0,69,-1,147,44,147
0,69,-1,148,112,148
0,69,-1,149,33,149
0,69,-1,150,43,150
0,69,-1,151,74,151
0,65,-1,152,73,152
0,69,-1,153,117,153
0,75,-1,154,154,154
0,67,-1,155,65,155
0,76,-1,156,156,156
0,65,-1,157,117,157
0,76,-1,158,158,158
0,75,-1,159,159,159
0,78,-1,160,160,160
0,78,-1,161,161,161
0,66,-1,162,43,162
0,69,-1,163,82,163
0,65,-1,164,75,164
0,77,-1,165,165,165
0,77,-1,166,166,166
0,79,-1,167,167,167
0,67,-1,168,70,168
0,67,-1,169,71,169
0,66,-1,170,32,170
0,68,-1,171,171,171
0,79,-1,172,41,172
2,66,-1,173,173,173
0,65,-1,174,114,174
0,66,-1,175,175,175
0,76,-1,176,176,176
0,79,-1,177,177,177
0,66,-1,178,4,178
2,78,-1,179,179,179
0,66,-1,180,93,180
0,67,-1,181,46,181
0,66,-1,182,59,182
0,79,-1,183,80,183
0,77,-1,184,69,184
0,68,-1,185,82,185
0,68,-1,186,38,186
0,65,-1,187,60,187
0,75,-1,188,188,188
0,77,-1,189,189,189
0,76,-1,190,190,190
0,79,-1,191,21,191
0,76,-1,192,192,192
0,75,-1,193,35,193
0,68,-1,194,78,194
0,76,-1,195,195,195
0,67,-1,196,121,196
0,68,-1,197,1,197
0,79,-1,198,198,198
0,68,-1,199,64,199
0,65,-1,200,20,200
0,67,-1,201,201,201
0,67,-1,202,88,202
0,69,-1,203,54,203
0,69,-1,204,71,204
0,78,-1,205,205,205
0,69,-1,206,17,206
0,67,-1,207,52,207
0,77,-1,208,22,208
0,77,-1,209,1,209
0,69,-1,210,117,210
0,67,-1,211,83,211
0,66,-1,212,63,212
0,66,-1,213,117,213
0,68,-1,214,58,214
0,67,-1,215,106,215
0,79,-1,216,216,216
0,77,-1,217,217,217
0,69,-1,218,117,218
0,68,-1,219,64,219
0,78,-1,220,78,220
0,77,-1,221,10,221
0,79,-1,222,117,222
0,66,-1,223,102,223
0,77,-1,224,224,224
0,65,-1,225,84,225
0,78,-1,226,226,226
0,66,-1,227,85,227
0,66,-1,228,14,228
0,75,-1,229,229,229
0,77,-1,230,230,230
0,65,-1,231,98,231
0,79,-1,232,232,232
0,68,-1,233,60,233
0,78,-1,234,234,234
0,66,-1,235,65,235
0,78,-1,236,39,236
0,76,-1,237,237,237
0,79,-1,238,238,238
0,69,-1,239,37,239
0,66,-1,240,106,240
0,79,-1,241,118,241
0,78,-1,242,242,242
0,77,-1,243,29,243
0,69,-1,244,65,244
0,69,-1,245,59,245
0,67,-1,246,21,246
0,67,-1,247,1,247
0,78,-1,248,248,248
0,67,-1,249,46,249
0,78,-1,250,22,250
0,79,-1,251,251,251
0,68,-1,252,17,252
0,69,-1,253,93,253
0,65,-1,254,122,254
0,68,-1,255,103,255
0,78,-1,256,256,256
0,79,-1,257,9,257
0,69,-1,258,58,258
0,78,-1,259,116,259
0,69,-1,260,104,260
0,67,-1,261,261,261
0,67,-1,262,118,262
0,79,-1,263,263,263
0,68,-1,264,27,264
0,67,-1,265,101,265
0,76,-1,266,56,266
0,65,-1,267,33,267
0,75,-1,268,268,268
2,67,-1,269,121,269
0,69,-1,270,106,270
0,65,-1,271,4,271
0,75,-1,272,57,272
0,67,-1,273,1,273
0,68,-1,274,96,274
0,69,-1,275,21,275
0,78,-1,276,56,276
0,77,-1,277,277,277
0,66,-1,278,61,278
0,68,-1,279,279,279
0,49,-1,279,91,279
0,69,-1,280,118,280
0,56,-1,280,74,280
0,31,-1,281,87,281
0,39,-1,281,39,281
0,40,-1,282,282,282
0,66,-1,282,282,282
0,57,-1,283,283,283
0,67,-1,283,7,283
0,67,-1,284,88,284
0,56,-1,284,284,284
0,66,-1,285,42,285
0,59,-1,285,285,285
0,66,-1,286,96,286
0,55,-1,286,286,286
0,28,-1,287,107,287
0,45,-1,287,287,287
0,30,-1,288,288,288
0,38,-1,288,65,288
0,46,-1,289,114,289
0,40,-1,289,86,289
0,57,-1,290,65,290
0,67,-1,290,120,290
0,67,-1,291,291,291
0,59,-1,291,291,291
0,35,-1,292,105,292
0,60,-1,292,292,292
0,55,-1,293,293,293
0,65,-1,293,121,293
0,36,-1,294,120,294
0,32,-1,294,33,294
0,36,-1,295,55,295
0,34,-1,295,295,295
0,30,-1,296,296,296
0,37,-1,296,42,296
0,66,-1,297,297,297
0,48,-1,297,51,297
0,58,-1,298,69,298
0,67,-1,298,24,298
0,47,-1,299,29,299
0,66,-1,299,299,299
0,57,-1,300,300,300
0,69,-1,300,62,300
0,36,-1,301,80,301
0,30,-1,301,11,301
0,33,-1,302,64,302
0,35,-1,302,33,302
0,56,-1,303,303,303
0,66,-1,303,39,303
0,65,-1,304,85,304
0,56,-1,304,304,304
0,32,-1,305,85,305
0,36,-1,305,108,305
0,39,-1,306,306,306
0,33,-1,306,306,306
0,55,-1,307,58,307
0,67,-1,307,11,307
0,65,-1,308,308,308
0,47,-1,308,308,308
0,48,-1,309,109,309
0,69,-1,309,309,309
0,68,-1,310,37,310
0,58,-1,310,113,310
0,29,-1,311,49,311
0,49,-1,311,311,311
0,42,-1,312,312,312
0,48,-1,312,49,312
0,34,-1,313,60,313
0,38,-1,313,86,313
0,38,-1,314,118,314
0,30,-1,314,314,314
0,66,-1,315,315,315
0,55,-1,315,315,315
0,68,-1,316,316,316
0,43,-1,316,316,316
0,32,-1,317,317,317
0,36,-1,317,4,317
0,38,-1,318,85,318
0,32,-1,318,318,318
0,69,-1,319,34,319
0,56,-1,319,1,319
0,66,-1,320,10,320
0,57,-1,320,320,320
0,58,-1,321,16,321
0,69,-1,321,80,321
0,69,-1,322,12,322
0,59,-1,322,322,322
0,67,-1,323,75,323
0,56,-1,323,40,323
0,64,-1,324,324,324
0,35,-1,324,101,324
0,38,-1,325,325,325
0,30,-1,325,325,325
0,42,-1,326,326,326
0,67,-1,326,326,326
0,32,-1,327,327,327
0,36,-1,327,327,327
0,36,-1,328,81,328
0,32,-1,328,328,328
0,35,-1,329,329,329
0,34,-1,329,329,329
0,56,-1,330,51,330
0,68,-1,330,63,330
0,68,-1,331,331,331
0,55,-1,331,331,331
0,62,-1,332,78,332
0,39,-1,332,41,332
0,69,-1,333,73,333
0,57,-1,333,90,333
0,68,-1,334,12,334
0,59,-1,334,334,334
0,36,-1,335,1,335
0,34,-1,335,21,335
0,32,-1,336,336,336
0,36,-1,336,25,336
0,63,-1,337,337,337
0,36,-1,337,14,337
0,56,-1,338,46,338
0,69,-1,338,118,338
0,43,-1,339,339,339
0,65,-1,339,339,339
0,67,-1,340,6,340
0,45,-1,340,340,340
0,44,-1,341,341,341
0,65,-1,341,52,341
0,55,-1,342,342,342
0,65,-1,342,112,342
0,43,-1,343,73,343
0,65,-1,343,78,343
0,49,-1,344,105,344
0,26,-1,344,83,344
0,56,-1,345,345,345
0,69,-1,345,40,345
0,34,-1,346,71,346
0,38,-1,346,65,346
0,68,-1,347,49,347
0,58,-1,347,96,347
0,29,-1,348,1,348
0,45,-1,348,348,348
0,34,-1,349,349,349
0,37,-1,349,71,349
0,67,-1,350,350,350
0,59,-1,350,350,350
0,57,-1,351,351,351
0,69,-1,351,48,351
0,39,-1,352,1,352
0,33,-1,352,35,352
0,58,-1,353,353,353
0,68,-1,353,80,353
0,35,-1,354,26,354
0,64,-1,354,354,354
0,68,-1,355,355,355
0,47,-1,355,355,355
0,37,-1,356,114,356
0,34,-1,356,3,356
2,45,-1,357,101,357
0,44,-1,357,27,357
0,39,-1,358,66,358
0,31,-1,358,358,358
0,40,-1,359,359,359
0,68,-1,359,64,359
0,59,-1,360,360,360
0,65,-1,360,106,360
0,37,-1,361,361,361
0,30,-1,361,361,361
0,47,-1,362,362,362
0,29,-1,362,9,362
0,66,-1,363,363,363
0,58,-1,363,41,363
0,61,-1,364,364,364
0,37,-1,364,69,364
0,31,-1,365,365,365
0,38,-1,365,365,365
0,65,-1,366,366,366
0,57,-1,366,366,366
0,36,-1,367,48,367
0,33,-1,367,367,367
0,37,-1,368,116,368
0,60,-1,368,368,368
0,39,-1,369,81,369
0,33,-1,369,369,369
0,37,-1,370,38,370
0,30,-1,370,370,370
0,59,-1,371,10,371
0,66,-1,371,25,371
0,36,-1,372,1,372
0,32,-1,372,372,372
0,35,-1,373,4,373
0,34,-1,373,49,373
0,65,-1,374,68,374
0,57,-1,374,94,374
0,38,-1,375,92,375
0,31,-1,375,375,375
0,38,-1,376,376,376
0,32,-1,376,122,376
0,65,-1,377,377,377
0,43,-1,377,1,377
0,58,-1,378,378,378
0,68,-1,378,22,378
0,68,-1,379,379,379
0,58,-1,379,379,379
0,28,-1,380,65,380
0,48,-1,380,380,380
0,33,-1,381,381,381
0,36,-1,381,12,381
0,56,-1,382,37,382
0,67,-1,382,382,382
0,37,-1,383,17,383
0,31,-1,383,383,383
0,28,-1,384,10,384
0,48,-1,384,384,384
0,64,-1,385,110,385
0,38,-1,385,49,385
2,65,-1,386,24,386
0,58,-1,386,119,386
0,66,-1,387,23,387
0,59,-1,387,387,387
0,68,-1,388,388,388
0,47,-1,388,388,388
0,65,-1,389,116,389
0,57,-1,389,92,389
0,43,-1,390,390,390
0,65,-1,390,114,390
0,56,-1,391,391,391
0,69,-1,391,106,391
0,69,-1,392,392,392
0,59,-1,392,69,392
0,32,-1,393,393,393
0,36,-1,393,88,393
0,37,-1,394,5,394
0,33,-1,394,76,394
0,69,-1,395,74,395
0,56,-1,395,395,395
0,66,-1,396,15,396
0,57,-1,396,396,396
0,58,-1,397,397,397
0,68,-1,397,51,397
0,63,-1,398,58,398
0,37,-1,398,45,398
0,63,-1,399,15,399
0,37,-1,399,102,399
2,66,-1,400,55,400
0,59,-1,400,400,400
0,56,-1,401,2,401
